EN01 ['F', 'V', 'V'] - ['0.12', '0.52', '1.0'] 
EN9922 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9923 ['F', 'F', 'V'] - ['0.0', '0.0869565217391304', '0.91304347826087'] 
EN9924 ['V', 'F', 'V'] - ['0.91304347826087', '0.391304347826087', '0.956521739130435'] 
EN9925 ['F', 'V', 'V'] - ['0.0', '1.0', '1.0'] 
EN9951 ['F', 'V', 'V'] - ['0.0379746835443038', '0.708860759493671', '0.911392405063291'] 
EN9952 ['V', 'V', 'V'] - ['0.734177215189873', '0.683544303797468', '0.911392405063291'] 
EN9953 ['V', 'F', 'F'] - ['0.987341772151899', '0.0', '0.164556962025316'] 
EN9954 ['V', 'F', 'F'] - ['0.987341772151899', '0.0126582278481013', '0.189873417721519'] 
EN9955 ['V', 'F', 'V'] - ['1.0', '0.189873417721519', '0.708860759493671'] 
EN9956 ['V', 'F', 'V'] - ['0.860759493670886', '0.253164556962025', '0.607594936708861'] 
EN9957 ['F', 'F', 'V'] - ['0.0253164556962025', '0.215189873417722', '0.708860759493671'] 
EN9958 ['F', 'F', 'F'] - ['0.164556962025316', '0.0632911392405063', '0.493670886075949'] 
EN9959 ['F', 'F', 'V'] - ['0.30379746835443', '0.164556962025316', '0.683544303797468'] 
EN9960 ['V', 'F', 'F'] - ['0.886075949367089', '0.0126582278481013', '0.189873417721519'] 
EN9961 ['F', 'V', 'V'] - ['0.139240506329114', '0.810126582278481', '0.886075949367089'] 
EN9962 ['V', 'V', 'V'] - ['1.0', '0.582278481012658', '0.746835443037975'] 
EN9963 ['F', 'V', 'V'] - ['0.164556962025316', '0.708860759493671', '0.89873417721519'] 
EN9964 ['V', 'V', 'V'] - ['0.987341772151899', '0.848101265822785', '0.962025316455696'] 
EN9965 ['V', 'F', 'F'] - ['1.0', '0.0126582278481013', '0.20253164556962'] 
EN9966 ['V', 'F', 'V'] - ['0.759493670886076', '0.341772151898734', '0.708860759493671'] 
EN9967 ['V', 'V', 'V'] - ['1.0', '0.582278481012658', '0.721518987341772'] 
EN9968 ['V', 'F', 'F'] - ['1.0', '0.405063291139241', '0.493670886075949'] 
EN9969 ['V', 'F', 'V'] - ['0.987341772151899', '0.405063291139241', '0.708860759493671'] 
EN9970 ['V', 'V', 'V'] - ['0.987341772151899', '0.506329113924051', '0.708860759493671'] 
EN9971 ['V', 'V', 'V'] - ['0.974683544303797', '0.683544303797468', '0.810126582278481'] 
EN9972 ['V', 'V', 'V'] - ['0.79746835443038', '0.544303797468354', '0.873417721518987'] 
EN9973 ['V', 'F', 'V'] - ['0.949367088607595', '0.341772151898734', '0.582278481012658'] 
EN9974 ['V', 'F', 'F'] - ['0.987341772151899', '0.0126582278481013', '0.265822784810127'] 
EN9975 ['V', 'F', 'F'] - ['0.936708860759494', '0.0886075949367089', '0.367088607594937'] 
