EN26 ['F', 'F', 'V'] - ['0.0606060606060606', '0.303030303030303', '1.0'] 
EN94 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN95 ['V', 'F', 'V'] - ['1.0', '0.486486486486487', '1.0'] 
EN96 ['V', 'V', 'V'] - ['1.0', '0.666666666666667', '1.0'] 
EN97 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN98 ['V', 'F', 'V'] - ['1.0', '0.25', '1.0'] 
EN99 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN990 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN9926 ['F', 'V', 'V'] - ['0.0', '0.862068965517241', '1.0'] 
EN9927 ['V', 'V', 'V'] - ['1.0', '0.96551724137931', '1.0'] 
EN9928 ['V', 'V', 'V'] - ['1.0', '0.916666666666667', '1.0'] 
EN9929 ['V', 'V', 'V'] - ['0.780487804878049', '0.853658536585366', '1.0'] 
EN9930 ['F', 'V', 'V'] - ['0.259259259259259', '0.851851851851852', '1.0'] 
EN9931 ['V', 'V', 'V'] - ['0.590909090909091', '0.909090909090909', '1.0'] 
EN9932 ['V', 'V', 'V'] - ['1.0', '1.0', '1.0'] 
EN9933 ['F', 'V', 'V'] - ['0.0', '0.6', '1.0'] 
EN9934 ['V', 'F', 'V'] - ['1.0', '0.125', '1.0'] 
EN9935 ['V', 'F', 'V'] - ['1.0', '0.0526315789473684', '1.0'] 
EN9936 ['V', 'F', 'V'] - ['1.0', '0.111111111111111', '1.0'] 
EN9937 ['V', 'F', 'V'] - ['1.0', '0.19047619047619', '1.0'] 
EN9938 ['V', 'F', 'V'] - ['1.0', '0.008', '0.976'] 
EN9939 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN9940 ['V', 'F', 'V'] - ['1.0', '0.02', '1.0'] 
EN9941 ['F', 'F', 'V'] - ['0.04', '0.48', '1.0'] 
EN9942 ['V', 'F', 'V'] - ['1.0', '0.372549019607843', '0.568627450980392'] 
EN9943 ['V', 'F', 'F'] - ['1.0', '0.467391304347826', '0.173913043478261'] 
EN9944 ['V', 'V', 'F'] - ['1.0', '0.752577319587629', '0.0'] 
EN9945 ['F', 'F', 'V'] - ['0.0', '0.488888888888889', '1.0'] 
EN9946 ['F', 'V', 'V'] - ['0.0', '0.65', '1.0'] 
EN9947 ['V', 'F', 'V'] - ['1.0', '0.388888888888889', '1.0'] 
EN9948 ['V', 'F', 'V'] - ['1.0', '0.0789473684210526', '1.0'] 
EN9949 ['V', 'F', 'V'] - ['0.987341772151899', '0.493670886075949', '1.0'] 
EN9950 ['V', 'V', 'V'] - ['1.0', '0.721518987341772', '1.0'] 
EN9976 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9977 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9978 ['V', 'F', 'V'] - ['1.0', '0.151898734177215', '1.0'] 
EN9979 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '0.886075949367089'] 
EN9980 ['V', 'F', 'V'] - ['1.0', '0.0253164556962025', '1.0'] 
EN9981 ['V', 'F', 'V'] - ['1.0', '0.151898734177215', '1.0'] 
EN9982 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9983 ['V', 'F', 'V'] - ['1.0', '0.151898734177215', '1.0'] 
EN9984 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9985 ['V', 'F', 'V'] - ['1.0', '0.278481012658228', '1.0'] 
EN9986 ['V', 'F', 'V'] - ['1.0', '0.493670886075949', '1.0'] 
EN9987 ['V', 'F', 'V'] - ['1.0', '0.278481012658228', '1.0'] 
EN9988 ['V', 'F', 'V'] - ['1.0', '0.278481012658228', '1.0'] 
EN9989 ['V', 'V', 'V'] - ['1.0', '0.759493670886076', '0.987341772151899'] 
EN9990 ['V', 'F', 'V'] - ['1.0', '0.493670886075949', '1.0'] 
EN9991 ['V', 'V', 'V'] - ['1.0', '0.721518987341772', '0.746835443037975'] 
EN9992 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9993 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9994 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9995 ['V', 'F', 'V'] - ['1.0', '0.151898734177215', '1.0'] 
EN9996 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9997 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN9998 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9999 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN99991 ['V', 'F', 'V'] - ['1.0', '0.0253164556962025', '1.0'] 
