EN101 ['F', 'F', 'V'] - ['0.222222222222222', '0.444444444444444', '1.0'] 
EN147 ['V', 'V', 'F'] - ['1.0', '0.75', '0.416666666666667'] 
EN148 ['V', 'V', 'V'] - ['1.0', '0.666666666666667', '0.5'] 
EN149 ['V', 'F', 'V'] - ['1.0', '0.25', '1.0'] 
EN150 ['V', 'V', 'V'] - ['1.0', '0.888888888888889', '0.777777777777778'] 
EN151 ['V', 'F', 'V'] - ['1.0', '0.4', '1.0'] 
EN152 ['V', 'V', 'F'] - ['1.0', '0.875', '0.0'] 
EN153 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN154 ['V', 'V', 'V'] - ['0.636363636363636', '0.545454545454545', '1.0'] 
EN155 ['V', 'V', 'V'] - ['1.0', '0.769230769230769', '0.923076923076923'] 
EN156 ['V', 'F', 'V'] - ['1.0', '0.444444444444444', '1.0'] 
EN157 ['V', 'V', 'F'] - ['1.0', '0.678571428571429', '0.0'] 
EN158 ['V', 'F', 'F'] - ['1.0', '0.2', '0.0666666666666667'] 
EN159 ['V', 'V', 'F'] - ['1.0', '0.7', '0.2'] 
EN160 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN161 ['V', 'F', 'V'] - ['1.0', '0.4', '0.933333333333333'] 
EN162 ['V', 'V', 'F'] - ['1.0', '0.71875', '0.0'] 
EN163 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN164 ['F', 'V', 'V'] - ['0.25', '0.5', '1.0'] 
EN165 ['V', 'F', 'V'] - ['0.9375', '0.4375', '1.0'] 
EN166 ['V', 'V', 'V'] - ['0.916666666666667', '0.583333333333333', '1.0'] 
EN167 ['V', 'F', 'F'] - ['1.0', '0.354838709677419', '0.0'] 
EN168 ['V', 'F', 'V'] - ['1.0', '0.153846153846154', '0.923076923076923'] 
EN169 ['V', 'V', 'F'] - ['1.0', '0.789473684210526', '0.0'] 
EN170 ['V', 'V', 'V'] - ['1.0', '1.0', '0.75'] 
EN171 ['V', 'V', 'F'] - ['1.0', '0.709677419354839', '0.0'] 
EN172 ['V', 'F', 'V'] - ['0.888888888888889', '0.111111111111111', '1.0'] 
EN173 ['V', 'F', 'F'] - ['1.0', '0.342105263157895', '0.0'] 
EN174 ['V', 'V', 'F'] - ['1.0', '0.571428571428571', '0.0'] 
EN175 ['V', 'F', 'V'] - ['1.0', '0.428571428571429', '0.964285714285714'] 
EN176 ['V', 'F', 'V'] - ['1.0', '0.2', '1.0'] 
EN177 ['V', 'V', 'F'] - ['1.0', '0.733333333333333', '0.0'] 
EN178 ['V', 'V', 'F'] - ['1.0', '0.645161290322581', '0.0'] 
EN179 ['V', 'V', 'F'] - ['1.0', '0.5', '0.0'] 
EN180 ['V', 'V', 'F'] - ['1.0', '0.533333333333333', '0.0'] 
EN181 ['V', 'F', 'V'] - ['1.0', '0.333333333333333', '1.0'] 
EN182 ['V', 'F', 'F'] - ['1.0', '0.387096774193548', '0.0'] 
EN183 ['V', 'V', 'V'] - ['0.833333333333333', '0.5', '1.0'] 
EN184 ['V', 'F', 'V'] - ['1.0', '0.25', '1.0'] 
EN185 ['V', 'V', 'V'] - ['1.0', '1.0', '0.75'] 
EN186 ['V', 'V', 'V'] - ['1.0', '1.0', '1.0'] 
EN187 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN188 ['V', 'F', 'V'] - ['1.0', '0.193548387096774', '1.0'] 
EN189 ['V', 'V', 'V'] - ['0.916666666666667', '0.5', '1.0'] 
EN190 ['V', 'V', 'F'] - ['1.0', '0.541666666666667', '0.0416666666666667'] 
EN191 ['V', 'F', 'F'] - ['1.0', '0.342105263157895', '0.0'] 
EN192 ['V', 'V', 'V'] - ['1.0', '0.5', '0.75'] 
EN193 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN194 ['V', 'V', 'V'] - ['1.0', '0.714285714285714', '0.857142857142857'] 
EN195 ['V', 'F', 'F'] - ['1.0', '0.333333333333333', '0.0'] 
EN196 ['V', 'F', 'V'] - ['1.0', '0.2', '1.0'] 
EN197 ['V', 'F', 'V'] - ['1.0', '0.444444444444444', '1.0'] 
EN198 ['V', 'V', 'F'] - ['1.0', '0.866666666666667', '0.0'] 
EN199 ['V', 'V', 'V'] - ['1.0', '0.857142857142857', '1.0'] 
EN200 ['V', 'V', 'V'] - ['1.0', '0.545454545454545', '0.636363636363636'] 
