EN01 ['F', 'V', 'V'] - ['0.0', '0.52', '1.0'] 
EN73 ['V', 'F', 'V'] - ['1.0', '0.388888888888889', '1.0'] 
EN74 ['V', 'F', 'V'] - ['1.0', '0.310344827586207', '1.0'] 
EN75 ['V', 'F', 'V'] - ['1.0', '0.448275862068966', '1.0'] 
EN9901 ['F', 'V', 'V'] - ['0.25', '0.75', '1.0'] 
EN9902 ['V', 'F', 'V'] - ['1.0', '0.4', '1.0'] 
EN9903 ['V', 'V', 'V'] - ['1.0', '0.75', '1.0'] 
EN9904 ['V', 'V', 'V'] - ['1.0', '1.0', '1.0'] 
EN9905 ['F', 'V', 'V'] - ['0.0', '0.888888888888889', '1.0'] 
EN9906 ['F', 'V', 'V'] - ['0.405405405405405', '0.72972972972973', '1.0'] 
EN9907 ['F', 'V', 'V'] - ['0.0', '0.666666666666667', '1.0'] 
EN9908 ['F', 'V', 'V'] - ['0.0', '0.625', '1.0'] 
EN9909 ['F', 'V', 'V'] - ['0.142857142857143', '0.571428571428571', '1.0'] 
EN9910 ['F', 'F', 'V'] - ['0.0', '0.0', '1.0'] 
EN9911 ['V', 'F', 'V'] - ['0.721311475409836', '0.131147540983607', '1.0'] 
EN9912 ['F', 'F', 'V'] - ['0.285714285714286', '0.0', '1.0'] 
EN9913 ['F', 'F', 'V'] - ['0.0', '0.115384615384615', '1.0'] 
EN9914 ['F', 'F', 'V'] - ['0.0', '0.288888888888889', '1.0'] 
EN9915 ['V', 'F', 'V'] - ['1.0', '0.0714285714285714', '1.0'] 
EN9916 ['V', 'F', 'V'] - ['1.0', '0.223880597014925', '1.0'] 
EN9917 ['V', 'V', 'V'] - ['1.0', '0.588235294117647', '1.0'] 
EN9918 ['V', 'V', 'V'] - ['0.5', '0.7', '1.0'] 
EN9919 ['V', 'V', 'V'] - ['1.0', '0.5', '1.0'] 
EN9920 ['V', 'F', 'V'] - ['1.0', '0.037037037037037', '1.0'] 
EN9921 ['F', 'F', 'V'] - ['0.0', '0.333333333333333', '1.0'] 
EN9922 ['V', 'F', 'V'] - ['1.0', '0.0', '1.0'] 
EN9923 ['F', 'F', 'V'] - ['0.0434782608695652', '0.478260869565217', '1.0'] 
EN9924 ['V', 'F', 'V'] - ['1.0', '0.347826086956522', '1.0'] 
EN9925 ['V', 'V', 'V'] - ['1.0', '0.941176470588235', '1.0'] 
EN9951 ['V', 'F', 'V'] - ['1.0', '0.493670886075949', '1.0'] 
EN9952 ['V', 'F', 'V'] - ['1.0', '0.493670886075949', '1.0'] 
EN9953 ['V', 'F', 'V'] - ['1.0', '0.0253164556962025', '1.0'] 
EN9954 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9955 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9956 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9957 ['F', 'F', 'V'] - ['0.0', '0.151898734177215', '1.0'] 
EN9958 ['F', 'F', 'V'] - ['0.0', '0.10126582278481', '1.0'] 
EN9959 ['F', 'F', 'V'] - ['0.316455696202532', '0.151898734177215', '1.0'] 
EN9960 ['F', 'F', 'V'] - ['0.367088607594937', '0.151898734177215', '1.0'] 
EN9961 ['V', 'V', 'V'] - ['0.987341772151899', '0.721518987341772', '1.0'] 
EN9962 ['V', 'F', 'V'] - ['1.0', '0.10126582278481', '1.0'] 
EN9963 ['V', 'V', 'V'] - ['0.848101265822785', '0.721518987341772', '1.0'] 
EN9964 ['V', 'F', 'V'] - ['1.0', '0.151898734177215', '1.0'] 
EN9965 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9966 ['V', 'F', 'V'] - ['0.89873417721519', '0.151898734177215', '1.0'] 
EN9967 ['V', 'F', 'V'] - ['1.0', '0.0506329113924051', '1.0'] 
EN9968 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9969 ['V', 'F', 'V'] - ['1.0', '0.0126582278481013', '1.0'] 
EN9970 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9971 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9972 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9973 ['V', 'F', 'V'] - ['1.0', '0.0632911392405063', '1.0'] 
EN9974 ['V', 'F', 'V'] - ['1.0', '0.0379746835443038', '1.0'] 
EN9975 ['V', 'F', 'V'] - ['1.0', '0.0759493670886076', '1.0'] 
